customer_id,order_date,order_id,order_status,payment_id,payment_type,product_category,product_id,quantity,table,total_price,unit_price
CUST0007,2024-09-10,ORD02561,Delivered,PAY_EXTRA_9930,Credit Card,Toys,PROD0028,2,Order_Items,331.8,165.9
CUST0229,2024-08-18,ORD00136,Delivered,PAY_EXTRA_7051,Credit Card,Electronics,PROD0066,5,Order_Items,1469.55,293.91
CUST0592,2025-06-19,ORD02417,Delivered,PAY_EXTRA_8158,PayPal,Toys,PROD0009,2,Order_Items,449.22,224.61
CUST0877,2024-09-19,ORD01920,Delivered,PAY_EXTRA_9896,PayPal,Home,PROD0033,5,Order_Items,869.1,173.82
CUST0941,2025-07-05,ORD01074,Shipped,PAY_EXTRA_2249,Bank Transfer,Beauty,PROD0013,1,Order_Items,196.97,196.97
CUST0939,2025-04-18,ORD00567,Processing,PAY_EXTRA_4640,PayPal,Beauty,PROD0034,3,Order_Items,754.2,251.4
CUST0291,2024-08-22,ORD00565,Delivered,PAY_EXTRA_9485,PayPal,Electronics,PROD0038,3,Order_Items,47.4,15.8
CUST0601,2025-02-20,ORD01321,Processing,PAY_EXTRA_4947,Credit Card,Books,PROD0049,1,Order_Items,160.14,160.14
CUST0781,2024-07-26,ORD02196,Processing,PAY_EXTRA_9920,Bank Transfer,Electronics,PROD0078,3,Order_Items,194.7,64.9
CUST0930,2025-06-23,ORD00812,Delivered,PAY_EXTRA_1963,Credit Card,Beauty,PROD0057,1,Order_Items,197.73,197.73
CUST0962,2025-07-13,ORD01765,Shipped,PAY_EXTRA_8243,PayPal,Clothing,PROD0041,5,Order_Items,173.45,34.69
CUST0473,2024-09-15,ORD02471,Delivered,PAY_EXTRA_6590,Bank Transfer,Clothing,PROD0047,2,Order_Items,188.28,94.14
CUST0752,2024-12-27,ORD00726,Cancelled,PAY_EXTRA_8847,PayPal,Electronics,PROD0038,5,Order_Items,142.65,28.53
CUST0260,2025-04-02,ORD02018,Processing,PAY_EXTRA_321,PayPal,Home,PROD0062,4,Order_Items,933.16,233.29
CUST0223,2024-08-20,ORD00080,Shipped,PAY_EXTRA_2678,Credit Card,Books,PROD0096,2,Order_Items,323.46,161.73
CUST0872,2024-09-26,ORD01331,Shipped,PAY_EXTRA_4625,Bank Transfer,Toys,PROD0079,1,Order_Items,51.48,51.48
CUST0851,2025-04-20,ORD00405,Processing,PAY_EXTRA_4949,Credit Card,Grocery,PROD0048,5,Order_Items,1129.3,225.86
CUST0284,2024-08-04,ORD01114,Delivered,PAY_EXTRA_8328,Bank Transfer,Electronics,PROD0053,4,Order_Items,813.32,203.33
CUST0991,2025-05-22,ORD01020,Delivered,PAY_EXTRA_3337,Bank Transfer,Toys,PROD0076,5,Order_Items,1067.05,213.41
CUST0970,2025-02-17,ORD01799,Delivered,PAY_EXTRA_5589,Credit Card,Electronics,PROD0017,4,Order_Items,551.28,137.82
CUST0878,2025-05-11,ORD00198,Cancelled,PAY_EXTRA_251,Bank Transfer,Books,PROD0044,4,Order_Items,1177.88,294.47
CUST0735,2025-04-06,ORD01315,Processing,PAY_EXTRA_3973,Credit Card,Home,PROD0052,1,Order_Items,297.97,297.97
CUST0336,2024-08-08,ORD02384,Shipped,PAY_EXTRA_6630,PayPal,Books,PROD0089,5,Order_Items,826.6,165.32
CUST0485,2025-04-22,ORD02014,Processing,PAY_EXTRA_5547,PayPal,Beauty,PROD0067,5,Order_Items,125.85,25.17
CUST0706,2025-04-29,ORD01137,Processing,PAY_EXTRA_35,Credit Card,Electronics,PROD0010,1,Order_Items,130.76,130.76
CUST0784,2024-12-13,ORD02853,Processing,PAY_EXTRA_8362,Bank Transfer,Electronics,PROD0019,2,Order_Items,89.28,44.64
CUST0482,2025-05-27,ORD02357,Delivered,PAY_EXTRA_1513,Credit Card,Grocery,PROD0037,4,Order_Items,554.08,138.52
CUST0355,2025-03-25,ORD00797,Processing,PAY_EXTRA_9317,PayPal,Electronics,PROD0014,4,Order_Items,966.8,241.7
CUST0327,2024-11-15,ORD00728,Cancelled,PAY_EXTRA_39,Credit Card,Home,PROD0088,3,Order_Items,162.99,54.33
CUST0974,2025-02-16,ORD01593,Processing,PAY_EXTRA_4819,PayPal,Grocery,PROD0040,2,Order_Items,84.06,42.03
CUST0270,2025-01-12,ORD02847,Cancelled,PAY_EXTRA_3465,PayPal,Books,PROD0093,3,Order_Items,545.25,181.75
CUST0874,2024-10-24,ORD00466,Delivered,PAY_EXTRA_1760,Bank Transfer,Books,PROD0058,2,Order_Items,375.86,187.93
CUST0680,2024-09-04,ORD00354,Delivered,PAY_EXTRA_2304,Bank Transfer,Books,PROD0035,5,Order_Items,922.1,184.42
CUST0103,2025-01-31,ORD01840,Cancelled,PAY_EXTRA_3723,Credit Card,Clothing,PROD0097,4,Order_Items,242.56,60.64
CUST0618,2025-02-21,ORD02706,Shipped,PAY_EXTRA_8284,Bank Transfer,Books,PROD0093,3,Order_Items,444.54,148.18
CUST0869,2024-12-07,ORD01169,Processing,PAY_EXTRA_4993,Bank Transfer,Toys,PROD0070,4,Order_Items,606.08,151.52
CUST0388,2025-04-25,ORD02239,Cancelled,PAY_EXTRA_8127,Bank Transfer,Toys,PROD0011,5,Order_Items,862.35,172.47
CUST0458,2025-01-10,ORD01340,Processing,PAY_EXTRA_3032,Credit Card,Grocery,PROD0037,1,Order_Items,247.65,247.65
CUST0587,2025-05-30,ORD01718,Cancelled,PAY_EXTRA_7938,Bank Transfer,Toys,PROD0012,1,Order_Items,94.32,94.32
CUST0766,2024-08-10,ORD00081,Shipped,PAY_EXTRA_3039,PayPal,Electronics,PROD0010,4,Order_Items,267.16,66.79
CUST0070,2025-06-21,ORD01876,Delivered,PAY_EXTRA_9655,PayPal,Beauty,PROD0025,3,Order_Items,244.47,81.49
CUST0596,2024-12-25,ORD02737,Cancelled,PAY_EXTRA_2545,PayPal,Books,PROD0049,3,Order_Items,275.16,91.72
CUST0962,2025-04-01,ORD00106,Processing,PAY_EXTRA_2592,Credit Card,Electronics,PROD0077,5,Order_Items,1040.35,208.07
CUST0516,2024-12-10,ORD01632,Processing,PAY_EXTRA_1188,Bank Transfer,Grocery,PROD0092,2,Order_Items,285.46,142.73
CUST0765,2024-09-24,ORD02978,Cancelled,PAY_EXTRA_7966,PayPal,Toys,PROD0042,4,Order_Items,253.64,63.41
CUST0647,2025-03-09,ORD01943,Cancelled,PAY_EXTRA_6077,Bank Transfer,Books,PROD0035,1,Order_Items,202.0,202.0
CUST0794,2024-11-26,ORD01097,Processing,PAY_EXTRA_107,Bank Transfer,Clothing,PROD0021,5,Order_Items,1253.45,250.69
CUST0883,2025-04-20,ORD02608,Cancelled,PAY_EXTRA_1315,Credit Card,Beauty,PROD0013,2,Order_Items,386.4,193.2
CUST0875,2025-01-03,ORD01951,Delivered,PAY_EXTRA_8187,Credit Card,Books,PROD0093,1,Order_Items,57.39,57.39
CUST0913,2025-05-04,ORD01748,Delivered,PAY_EXTRA_2753,Bank Transfer,Electronics,PROD0017,4,Order_Items,643.52,160.88
CUST0268,2025-01-29,ORD00930,Cancelled,PAY_EXTRA_9753,Bank Transfer,Toys,PROD0029,5,Order_Items,1344.8,268.96
CUST0078,2025-03-29,ORD00119,Delivered,PAY_EXTRA_6231,Bank Transfer,Beauty,PROD0063,2,Order_Items,478.92,239.46
CUST0351,2024-11-10,ORD01510,Processing,PAY_EXTRA_2876,PayPal,Beauty,PROD0074,3,Order_Items,501.57,167.19
CUST0306,2024-10-24,ORD01455,Shipped,PAY_EXTRA_5323,Bank Transfer,Grocery,PROD0086,4,Order_Items,942.84,235.71
CUST0926,2024-08-12,ORD02164,Cancelled,PAY_EXTRA_799,PayPal,Electronics,PROD0019,2,Order_Items,152.72,76.36
CUST0620,2025-06-13,ORD00980,Cancelled,PAY_EXTRA_3570,Bank Transfer,Beauty,PROD0074,1,Order_Items,277.61,277.61
CUST0593,2025-03-28,ORD00862,Shipped,PAY_EXTRA_2894,Credit Card,Clothing,PROD0021,3,Order_Items,57.48,19.16
CUST0991,2025-05-22,ORD01020,Delivered,PAY_EXTRA_2927,Bank Transfer,Home,PROD0090,5,Order_Items,608.5,121.7
CUST0295,2025-02-20,ORD01881,Cancelled,PAY_EXTRA_8178,Credit Card,Electronics,PROD0066,5,Order_Items,660.0,132.0
CUST0449,2025-05-29,ORD01052,Cancelled,PAY_EXTRA_971,Bank Transfer,Electronics,PROD0010,4,Order_Items,833.16,208.29
CUST0512,2024-08-12,ORD00964,Processing,PAY_EXTRA_6687,PayPal,Clothing,PROD0006,3,Order_Items,368.94,122.98
CUST0205,2024-08-01,ORD01369,Shipped,PAY_EXTRA_8575,Credit Card,Clothing,PROD0026,1,Order_Items,183.08,183.08
CUST0345,2025-05-20,ORD02870,Processing,PAY_EXTRA_2020,PayPal,Beauty,PROD0023,5,Order_Items,942.85,188.57
CUST0834,2024-11-28,ORD01918,Processing,PAY_EXTRA_9054,Credit Card,Books,PROD0005,2,Order_Items,151.6,75.8
CUST0475,2025-04-20,ORD01044,Delivered,PAY_EXTRA_952,Bank Transfer,Books,PROD0035,4,Order_Items,456.84,114.21
CUST0361,2024-12-11,ORD01072,Delivered,PAY_EXTRA_5359,PayPal,Toys,PROD0042,3,Order_Items,277.02,92.34
CUST0195,2025-05-09,ORD02054,Cancelled,PAY_EXTRA_3857,Bank Transfer,Toys,PROD0027,1,Order_Items,126.4,126.4
CUST0944,2024-09-06,ORD00520,Processing,PAY_EXTRA_5861,Credit Card,Books,PROD0073,5,Order_Items,1288.65,257.73
CUST0281,2025-01-19,ORD02338,Shipped,PAY_EXTRA_3145,Credit Card,Toys,PROD0042,3,Order_Items,167.28,55.76
CUST0554,2025-01-12,ORD02512,Shipped,PAY_EXTRA_3305,Credit Card,Electronics,PROD0064,3,Order_Items,447.69,149.23
CUST0488,2024-08-08,ORD00451,Processing,PAY_EXTRA_3006,PayPal,Home,PROD0016,3,Order_Items,459.87,153.29
CUST0572,2025-06-11,ORD01698,Delivered,PAY_EXTRA_9001,Credit Card,Home,PROD0052,2,Order_Items,574.48,287.24
CUST0381,2024-10-20,ORD02028,Delivered,PAY_EXTRA_7770,Credit Card,Beauty,PROD0030,3,Order_Items,61.5,20.5
CUST0463,2025-03-30,ORD02316,Delivered,PAY_EXTRA_7438,PayPal,Electronics,PROD0014,2,Order_Items,580.12,290.06
CUST0849,2025-04-26,ORD01986,Delivered,PAY_EXTRA_7942,PayPal,Clothing,PROD0047,5,Order_Items,1077.2,215.44
CUST0911,2025-02-10,ORD00822,Cancelled,PAY_EXTRA_9238,Credit Card,Toys,PROD0100,1,Order_Items,139.55,139.55
CUST0371,2025-03-10,ORD00016,Delivered,PAY_EXTRA_1056,Credit Card,Toys,PROD0012,4,Order_Items,820.36,205.09
CUST0998,2025-05-21,ORD00127,Delivered,PAY_EXTRA_3154,Bank Transfer,Electronics,PROD0077,5,Order_Items,863.9,172.78
CUST0792,2024-09-21,ORD02975,Cancelled,PAY_EXTRA_3787,PayPal,Electronics,PROD0077,3,Order_Items,820.2,273.4
CUST0370,2025-06-28,ORD02069,Cancelled,PAY_EXTRA_9189,Bank Transfer,Clothing,PROD0085,4,Order_Items,278.08,69.52
CUST0735,2025-05-08,ORD00854,Cancelled,PAY_EXTRA_7825,Bank Transfer,Electronics,PROD0003,5,Order_Items,973.45,194.69
CUST0463,2024-08-24,ORD00453,Delivered,PAY_EXTRA_7539,Bank Transfer,Electronics,PROD0019,4,Order_Items,115.6,28.9
CUST0073,2024-11-12,ORD02344,Processing,PAY_EXTRA_7231,PayPal,Electronics,PROD0066,2,Order_Items,202.92,101.46
CUST0240,2024-12-02,ORD00351,Shipped,PAY_EXTRA_764,PayPal,Electronics,PROD0064,3,Order_Items,196.74,65.58
CUST0891,2024-10-05,ORD00357,Cancelled,PAY_EXTRA_5019,Credit Card,Books,PROD0045,4,Order_Items,511.16,127.79
CUST0132,2025-02-02,ORD01473,Processing,PAY_EXTRA_4903,Bank Transfer,Electronics,PROD0050,4,Order_Items,1042.08,260.52
CUST0339,2025-03-14,ORD02296,Cancelled,PAY_EXTRA_8093,PayPal,Beauty,PROD0067,1,Order_Items,100.44,100.44
CUST0081,2025-02-25,ORD02111,Processing,PAY_EXTRA_6843,Credit Card,Beauty,PROD0025,4,Order_Items,714.96,178.74
CUST0559,2025-04-17,ORD00120,Processing,PAY_EXTRA_2165,Credit Card,Toys,PROD0070,1,Order_Items,237.0,237.0
CUST0497,2025-04-22,ORD02449,Shipped,PAY_EXTRA_1862,Credit Card,Electronics,PROD0002,4,Order_Items,225.44,56.36
CUST0718,2024-09-19,ORD01246,Processing,PAY_EXTRA_7850,Bank Transfer,Beauty,PROD0057,5,Order_Items,995.75,199.15
CUST0650,2024-10-27,ORD00113,Processing,PAY_EXTRA_9123,PayPal,Books,PROD0095,5,Order_Items,858.1,171.62
CUST0348,2025-01-11,ORD02532,Processing,PAY_EXTRA_2340,Credit Card,Beauty,PROD0013,1,Order_Items,20.72,20.72
CUST0191,2025-05-01,ORD02416,Shipped,PAY_EXTRA_5527,PayPal,Books,PROD0005,2,Order_Items,163.06,81.53
CUST0329,2025-04-09,ORD00316,Shipped,PAY_EXTRA_6743,Bank Transfer,Electronics,PROD0066,2,Order_Items,52.16,26.08
CUST0375,2025-06-27,ORD01776,Shipped,PAY_EXTRA_4003,Bank Transfer,Toys,PROD0100,5,Order_Items,682.0,136.4
CUST0228,2024-12-26,ORD00134,Cancelled,PAY_EXTRA_1123,Credit Card,Grocery,PROD0039,3,Order_Items,75.75,25.25
CUST0500,2025-04-13,ORD02843,Cancelled,PAY_EXTRA_8709,Credit Card,Books,PROD0054,3,Order_Items,722.79,240.93
CUST0679,2025-02-18,ORD01760,Delivered,PAY_EXTRA_4049,Credit Card,Beauty,PROD0071,5,Order_Items,354.85,70.97
CUST0113,2024-12-29,ORD02398,Shipped,PAY_EXTRA_7640,PayPal,Clothing,PROD0008,5,Order_Items,1055.8,211.16
CUST0091,2024-11-10,ORD00527,Shipped,PAY_EXTRA_765,PayPal,Grocery,PROD0092,4,Order_Items,1041.96,260.49
CUST0247,2024-09-03,ORD00631,Shipped,PAY_EXTRA_2344,Bank Transfer,Clothing,PROD0021,2,Order_Items,28.94,14.47
CUST0580,2025-02-15,ORD01763,Delivered,PAY_EXTRA_4071,Bank Transfer,Home,PROD0065,5,Order_Items,1347.3,269.46
CUST0687,2025-06-13,ORD00572,Shipped,PAY_EXTRA_7216,Bank Transfer,Clothing,PROD0094,1,Order_Items,121.84,121.84
CUST0838,2024-11-25,ORD02367,Shipped,PAY_EXTRA_4216,Bank Transfer,Beauty,PROD0025,4,Order_Items,238.16,59.54
CUST0624,2024-09-26,ORD01622,Delivered,PAY_EXTRA_7952,Bank Transfer,Electronics,PROD0010,3,Order_Items,639.12,213.04
CUST0469,2025-06-08,ORD01068,Processing,PAY_EXTRA_5970,Credit Card,Clothing,PROD0047,4,Order_Items,230.56,57.64
CUST0020,2024-10-01,ORD00215,Shipped,PAY_EXTRA_3350,Bank Transfer,Beauty,PROD0023,3,Order_Items,531.54,177.18
CUST0730,2024-10-01,ORD01203,Shipped,PAY_EXTRA_4695,Bank Transfer,Home,PROD0065,3,Order_Items,165.9,55.3
CUST0137,2025-06-17,ORD02988,Cancelled,PAY_EXTRA_3399,PayPal,Toys,PROD0070,1,Order_Items,237.7,237.7
CUST0810,2025-05-12,ORD00976,Shipped,PAY_EXTRA_4081,Bank Transfer,Clothing,PROD0047,4,Order_Items,251.68,62.92
CUST0290,2025-04-03,ORD02365,Delivered,PAY_EXTRA_9149,PayPal,Books,PROD0045,5,Order_Items,534.85,106.97
CUST0195,2025-05-09,ORD02054,Cancelled,PAY_EXTRA_1224,Bank Transfer,Toys,PROD0042,1,Order_Items,138.88,138.88
CUST0744,2024-08-31,ORD01862,Processing,PAY_EXTRA_6292,Bank Transfer,Toys,PROD0011,5,Order_Items,830.95,166.19
CUST0046,2025-05-23,ORD01054,Shipped,PAY_EXTRA_3122,Bank Transfer,Electronics,PROD0010,5,Order_Items,692.45,138.49
CUST0324,2025-01-18,ORD00641,Cancelled,PAY_EXTRA_510,PayPal,Home,PROD0065,2,Order_Items,443.54,221.77
CUST0722,2025-05-05,ORD01357,Cancelled,PAY_EXTRA_5794,Credit Card,Toys,PROD0091,4,Order_Items,1131.56,282.89
CUST0663,2024-08-24,ORD01284,Cancelled,PAY_EXTRA_8181,PayPal,Clothing,PROD0097,3,Order_Items,327.39,109.13
CUST0642,2024-09-04,ORD01962,Delivered,PAY_EXTRA_9417,Credit Card,Clothing,PROD0008,3,Order_Items,756.21,252.07
CUST0481,2024-08-28,ORD00544,Processing,PAY_EXTRA_96,PayPal,Grocery,PROD0069,5,Order_Items,956.45,191.29
CUST0623,2025-06-12,ORD02251,Delivered,PAY_EXTRA_6681,PayPal,Electronics,PROD0060,2,Order_Items,59.26,29.63
CUST0962,2025-07-13,ORD01765,Shipped,PAY_EXTRA_1512,PayPal,Electronics,PROD0087,2,Order_Items,80.26,40.13
CUST0129,2025-01-01,ORD02034,Delivered,PAY_EXTRA_8791,PayPal,Electronics,PROD0087,2,Order_Items,396.24,198.12
CUST0784,2025-07-12,ORD01709,Cancelled,PAY_EXTRA_119,PayPal,Grocery,PROD0059,5,Order_Items,148.4,29.68
CUST0499,2025-05-24,ORD02524,Cancelled,PAY_EXTRA_7791,Credit Card,Beauty,PROD0071,2,Order_Items,386.48,193.24
CUST0524,2025-03-17,ORD01453,Processing,PAY_EXTRA_6517,Bank Transfer,Beauty,PROD0025,1,Order_Items,266.34,266.34
CUST0648,2025-04-02,ORD02598,Processing,PAY_EXTRA_33,PayPal,Clothing,PROD0080,1,Order_Items,273.61,273.61
CUST0085,2024-12-07,ORD02800,Cancelled,PAY_EXTRA_7887,PayPal,Clothing,PROD0006,3,Order_Items,216.81,72.27
CUST0486,2024-08-19,ORD02691,Delivered,PAY_EXTRA_6830,PayPal,Electronics,PROD0064,4,Order_Items,599.0,149.75
CUST0422,2024-10-15,ORD00318,Cancelled,PAY_EXTRA_5421,Bank Transfer,Toys,PROD0042,4,Order_Items,747.44,186.86
CUST0401,2025-01-28,ORD01189,Shipped,PAY_EXTRA_1068,Bank Transfer,Beauty,PROD0025,5,Order_Items,1029.7,205.94
CUST0469,2024-12-11,ORD02670,Delivered,PAY_EXTRA_1347,PayPal,Toys,PROD0011,3,Order_Items,754.23,251.41
CUST0492,2024-07-25,ORD01291,Cancelled,PAY_EXTRA_4747,Bank Transfer,Home,PROD0043,3,Order_Items,418.59,139.53
CUST0123,2025-03-28,ORD01216,Shipped,PAY_EXTRA_6005,Bank Transfer,Clothing,PROD0046,1,Order_Items,295.77,295.77
CUST0461,2024-12-19,ORD00184,Delivered,PAY_EXTRA_6039,PayPal,Books,PROD0095,1,Order_Items,174.93,174.93
CUST0614,2025-06-06,ORD00510,Shipped,PAY_EXTRA_3817,Credit Card,Books,PROD0044,1,Order_Items,108.54,108.54
CUST0052,2025-06-29,ORD00210,Cancelled,PAY_EXTRA_8446,PayPal,Clothing,PROD0047,5,Order_Items,817.65,163.53
CUST0957,2024-08-14,ORD00343,Processing,PAY_EXTRA_5269,Bank Transfer,Home,PROD0090,3,Order_Items,322.5,107.5
CUST0220,2025-01-08,ORD00678,Processing,PAY_EXTRA_6897,Bank Transfer,Electronics,PROD0017,2,Order_Items,415.0,207.5
CUST0615,2024-08-14,ORD02971,Delivered,PAY_EXTRA_5309,PayPal,Toys,PROD0091,4,Order_Items,454.0,113.5
CUST0015,2024-09-15,ORD02610,Cancelled,PAY_EXTRA_31,Bank Transfer,Electronics,PROD0014,4,Order_Items,343.76,85.94
CUST0488,2024-12-15,ORD02845,Delivered,PAY_EXTRA_5674,Bank Transfer,Clothing,PROD0075,1,Order_Items,143.11,143.11
CUST0849,2024-11-27,ORD01117,Cancelled,PAY_EXTRA_4386,Credit Card,Clothing,PROD0007,5,Order_Items,1315.55,263.11
CUST0694,2024-09-13,ORD02703,Shipped,PAY_EXTRA_29,Bank Transfer,Clothing,PROD0008,2,Order_Items,522.46,261.23
CUST0015,2024-10-09,ORD02543,Shipped,PAY_EXTRA_4202,Credit Card,Clothing,PROD0046,5,Order_Items,919.3,183.86
CUST0566,2025-01-15,ORD00289,Delivered,PAY_EXTRA_7507,Credit Card,Clothing,PROD0080,1,Order_Items,204.66,204.66
CUST0573,2025-05-11,ORD00859,Processing,PAY_EXTRA_735,PayPal,Home,PROD0031,1,Order_Items,243.79,243.79
CUST0450,2025-04-26,ORD02557,Shipped,PAY_EXTRA_2067,Credit Card,Books,PROD0093,3,Order_Items,701.04,233.68
CUST0989,2025-03-08,ORD01386,Cancelled,PAY_EXTRA_106,Bank Transfer,Clothing,PROD0032,4,Order_Items,487.16,121.79
CUST0584,2024-11-12,ORD02078,Delivered,PAY_EXTRA_9644,Bank Transfer,Grocery,PROD0039,1,Order_Items,10.93,10.93
CUST0650,2025-01-06,ORD02236,Shipped,PAY_EXTRA_8894,PayPal,Beauty,PROD0023,4,Order_Items,810.28,202.57
CUST0438,2024-09-09,ORD02881,Processing,PAY_EXTRA_8020,Credit Card,Clothing,PROD0094,5,Order_Items,851.05,170.21
CUST0964,2024-09-06,ORD01953,Shipped,PAY_EXTRA_2232,Bank Transfer,Grocery,PROD0048,1,Order_Items,143.8,143.8
CUST0925,2025-06-23,ORD00075,Delivered,PAY_EXTRA_993,Credit Card,Electronics,PROD0083,4,Order_Items,912.24,228.06
CUST0568,2025-02-16,ORD02520,Cancelled,PAY_EXTRA_9412,Credit Card,Home,PROD0043,1,Order_Items,111.5,111.5
CUST0144,2025-05-10,ORD00421,Shipped,PAY_EXTRA_7058,Credit Card,Clothing,PROD0008,1,Order_Items,298.21,298.21
CUST0496,2025-02-20,ORD02673,Processing,PAY_EXTRA_6789,PayPal,Home,PROD0065,3,Order_Items,719.79,239.93
CUST0506,2025-02-21,ORD02001,Processing,PAY_EXTRA_360,Credit Card,Toys,PROD0042,5,Order_Items,543.3,108.66
CUST0706,2025-04-29,ORD01137,Processing,PAY_EXTRA_304,Credit Card,Beauty,PROD0013,3,Order_Items,635.97,211.99
CUST0793,2025-06-24,ORD01420,Processing,PAY_EXTRA_2627,PayPal,Clothing,PROD0006,4,Order_Items,493.6,123.4
CUST0971,2024-07-30,ORD02688,Processing,PAY_EXTRA_8965,PayPal,Electronics,PROD0083,3,Order_Items,890.37,296.79
CUST0483,2024-11-24,ORD02593,Cancelled,PAY_EXTRA_4513,Bank Transfer,Beauty,PROD0057,5,Order_Items,644.8,128.96
CUST0137,2025-06-17,ORD02988,Cancelled,PAY_EXTRA_5910,PayPal,Books,PROD0045,5,Order_Items,451.7,90.34
CUST0812,2024-12-13,ORD02529,Processing,PAY_EXTRA_8313,Bank Transfer,Clothing,PROD0021,4,Order_Items,574.92,143.73
CUST0793,2024-09-01,ORD01220,Processing,PAY_EXTRA_3100,PayPal,Grocery,PROD0086,4,Order_Items,129.8,32.45
CUST0587,2025-05-30,ORD01718,Cancelled,PAY_EXTRA_5703,Bank Transfer,Electronics,PROD0066,1,Order_Items,190.93,190.93
CUST0959,2024-09-06,ORD02015,Delivered,PAY_EXTRA_3898,PayPal,Grocery,PROD0055,3,Order_Items,84.48,28.16
CUST0361,2025-02-27,ORD00482,Delivered,PAY_EXTRA_5440,Credit Card,Books,PROD0056,5,Order_Items,766.2,153.24
CUST0044,2025-07-03,ORD00796,Shipped,PAY_EXTRA_7930,PayPal,Electronics,PROD0002,5,Order_Items,1255.5,251.1
CUST0426,2025-01-04,ORD00338,Cancelled,PAY_EXTRA_621,PayPal,Beauty,PROD0034,3,Order_Items,419.58,139.86
CUST0790,2024-11-16,ORD01200,Processing,PAY_EXTRA_7235,Credit Card,Home,PROD0052,5,Order_Items,133.1,26.62
CUST0248,2025-07-11,ORD01031,Delivered,PAY_EXTRA_2498,PayPal,Grocery,PROD0048,4,Order_Items,553.6,138.4
CUST0862,2024-08-26,ORD02934,Shipped,PAY_EXTRA_713,Bank Transfer,Grocery,PROD0069,5,Order_Items,943.25,188.65
CUST0699,2025-03-05,ORD01025,Shipped,PAY_EXTRA_8403,Bank Transfer,Books,PROD0005,3,Order_Items,189.75,63.25
CUST0609,2024-09-20,ORD00883,Cancelled,PAY_EXTRA_2855,Credit Card,Electronics,PROD0066,2,Order_Items,439.52,219.76
CUST0719,2024-12-25,ORD02033,Shipped,PAY_EXTRA_4269,Bank Transfer,Toys,PROD0029,4,Order_Items,751.2,187.8
CUST0909,2024-09-12,ORD02212,Cancelled,PAY_EXTRA_2908,Credit Card,Books,PROD0082,3,Order_Items,451.14,150.38
CUST0281,2025-02-13,ORD00269,Shipped,PAY_EXTRA_8080,Credit Card,Books,PROD0073,2,Order_Items,343.96,171.98
CUST0972,2025-01-22,ORD01392,Delivered,PAY_EXTRA_4516,Credit Card,Clothing,PROD0007,3,Order_Items,276.09,92.03
CUST0503,2024-07-31,ORD00983,Processing,PAY_EXTRA_1261,Credit Card,Electronics,PROD0087,1,Order_Items,47.33,47.33
CUST0852,2024-08-10,ORD00549,Shipped,PAY_EXTRA_3160,PayPal,Books,PROD0089,4,Order_Items,248.16,62.04
CUST0635,2025-06-25,ORD00089,Cancelled,PAY_EXTRA_970,Credit Card,Beauty,PROD0057,1,Order_Items,235.01,235.01
