order_id,customer_id,order_date,payment_type,order_status
ORD00405,CUST0851,2025-04-20,Credit Card,Processing
ORD01114,CUST0284,2024-08-04,Bank Transfer,Delivered
ORD01020,CUST0991,2025-05-22,Bank Transfer,Delivered
ORD01799,CUST0970,2025-02-17,Credit Card,Delivered
ORD00198,CUST0878,2025-05-11,Bank Transfer,Cancelled
ORD01315,CUST0735,2025-04-06,Credit Card,Processing
ORD02384,CUST0336,2024-08-08,PayPal,Shipped
ORD02014,CUST0485,2025-04-22,PayPal,Processing
ORD01137,CUST0706,2025-04-29,Credit Card,Processing
ORD02853,CUST0784,2024-12-13,Bank Transfer,Processing
ORD02357,CUST0482,2025-05-27,Credit Card,Delivered
ORD00797,CUST0355,2025-03-25,PayPal,Processing
ORD00728,CUST0327,2024-11-15,Credit Card,Cancelled
ORD01593,CUST0974,2025-02-16,PayPal,Processing
ORD02847,CUST0270,2025-01-12,PayPal,Cancelled
ORD00466,CUST0874,2024-10-24,Bank Transfer,Delivered
ORD00354,CUST0680,2024-09-04,Bank Transfer,Delivered
ORD01840,CUST0103,2025-01-31,Credit Card,Cancelled
ORD02706,CUST0618,2025-02-21,Bank Transfer,Shipped
ORD01169,CUST0869,2024-12-07,Bank Transfer,Processing
ORD02239,CUST0388,2025-04-25,Bank Transfer,Cancelled
ORD01340,CUST0458,2025-01-10,Credit Card,Processing
ORD01718,CUST0587,2025-05-30,Bank Transfer,Cancelled
ORD00081,CUST0766,2024-08-10,PayPal,Shipped
ORD01876,CUST0070,2025-06-21,PayPal,Delivered
ORD02737,CUST0596,2024-12-25,PayPal,Cancelled
ORD00106,CUST0962,2025-04-01,Credit Card,Processing
ORD01632,CUST0516,2024-12-10,Bank Transfer,Processing
ORD02978,CUST0765,2024-09-24,PayPal,Cancelled
ORD01943,CUST0647,2025-03-09,Bank Transfer,Cancelled
ORD01097,CUST0794,2024-11-26,Bank Transfer,Processing
ORD02608,CUST0883,2025-04-20,Credit Card,Cancelled
ORD01951,CUST0875,2025-01-03,Credit Card,Delivered
ORD01748,CUST0913,2025-05-04,Bank Transfer,Delivered
ORD00930,CUST0268,2025-01-29,Bank Transfer,Cancelled
ORD00119,CUST0078,2025-03-29,Bank Transfer,Delivered
ORD01510,CUST0351,2024-11-10,PayPal,Processing
ORD01455,CUST0306,2024-10-24,Bank Transfer,Shipped
ORD02164,CUST0926,2024-08-12,PayPal,Cancelled
ORD00980,CUST0620,2025-06-13,Bank Transfer,Cancelled
ORD00862,CUST0593,2025-03-28,Credit Card,Shipped
ORD01881,CUST0295,2025-02-20,Credit Card,Cancelled
ORD01052,CUST0449,2025-05-29,Bank Transfer,Cancelled
ORD00964,CUST0512,2024-08-12,PayPal,Processing
ORD01369,CUST0205,2024-08-01,Credit Card,Shipped
ORD02870,CUST0345,2025-05-20,PayPal,Processing
ORD01918,CUST0834,2024-11-28,Credit Card,Processing
ORD01044,CUST0475,2025-04-20,Bank Transfer,Delivered
ORD01072,CUST0361,2024-12-11,PayPal,Delivered
ORD02054,CUST0195,2025-05-09,Bank Transfer,Cancelled
ORD00520,CUST0944,2024-09-06,Credit Card,Processing
ORD02338,CUST0281,2025-01-19,Credit Card,Shipped
ORD02512,CUST0554,2025-01-12,Credit Card,Shipped
ORD00451,CUST0488,2024-08-08,PayPal,Processing
ORD01698,CUST0572,2025-06-11,Credit Card,Delivered
ORD02028,CUST0381,2024-10-20,Credit Card,Delivered
ORD02316,CUST0463,2025-03-30,PayPal,Delivered
ORD01986,CUST0849,2025-04-26,PayPal,Delivered
ORD00822,CUST0911,2025-02-10,Credit Card,Cancelled
ORD00016,CUST0371,2025-03-10,Credit Card,Delivered
ORD00127,CUST0998,2025-05-21,Bank Transfer,Delivered
ORD02975,CUST0792,2024-09-21,PayPal,Cancelled
ORD02069,CUST0370,2025-06-28,Bank Transfer,Cancelled
ORD00854,CUST0735,2025-05-08,Bank Transfer,Cancelled
ORD00453,CUST0463,2024-08-24,Bank Transfer,Delivered
ORD02344,CUST0073,2024-11-12,PayPal,Processing
ORD00351,CUST0240,2024-12-02,PayPal,Shipped
ORD00357,CUST0891,2024-10-05,Credit Card,Cancelled
ORD01473,CUST0132,2025-02-02,Bank Transfer,Processing
ORD02296,CUST0339,2025-03-14,PayPal,Cancelled
ORD02111,CUST0081,2025-02-25,Credit Card,Processing
ORD00120,CUST0559,2025-04-17,Credit Card,Processing
ORD02449,CUST0497,2025-04-22,Credit Card,Shipped
ORD01246,CUST0718,2024-09-19,Bank Transfer,Processing
ORD00113,CUST0650,2024-10-27,PayPal,Processing
ORD02532,CUST0348,2025-01-11,Credit Card,Processing
ORD02416,CUST0191,2025-05-01,PayPal,Shipped
ORD00316,CUST0329,2025-04-09,Bank Transfer,Shipped
ORD01776,CUST0375,2025-06-27,Bank Transfer,Shipped
ORD00134,CUST0228,2024-12-26,Credit Card,Cancelled
ORD02843,CUST0500,2025-04-13,Credit Card,Cancelled
ORD01760,CUST0679,2025-02-18,Credit Card,Delivered
ORD02398,CUST0113,2024-12-29,PayPal,Shipped
ORD00527,CUST0091,2024-11-10,PayPal,Shipped
ORD00631,CUST0247,2024-09-03,Bank Transfer,Shipped
ORD01763,CUST0580,2025-02-15,Bank Transfer,Delivered
ORD00572,CUST0687,2025-06-13,Bank Transfer,Shipped
ORD02367,CUST0838,2024-11-25,Bank Transfer,Shipped
ORD01622,CUST0624,2024-09-26,Bank Transfer,Delivered
ORD01068,CUST0469,2025-06-08,Credit Card,Processing
ORD00215,CUST0020,2024-10-01,Bank Transfer,Shipped
ORD01203,CUST0730,2024-10-01,Bank Transfer,Shipped
ORD02988,CUST0137,2025-06-17,PayPal,Cancelled
ORD00976,CUST0810,2025-05-12,Bank Transfer,Shipped
ORD02365,CUST0290,2025-04-03,PayPal,Delivered
ORD01862,CUST0744,2024-08-31,Bank Transfer,Processing
ORD01054,CUST0046,2025-05-23,Bank Transfer,Shipped
ORD00641,CUST0324,2025-01-18,PayPal,Cancelled
ORD01357,CUST0722,2025-05-05,Credit Card,Cancelled
ORD01284,CUST0663,2024-08-24,PayPal,Cancelled
ORD01962,CUST0642,2024-09-04,Credit Card,Delivered
ORD00544,CUST0481,2024-08-28,PayPal,Processing
ORD02251,CUST0623,2025-06-12,PayPal,Delivered
ORD02034,CUST0129,2025-01-01,PayPal,Delivered
ORD01709,CUST0784,2025-07-12,PayPal,Cancelled
ORD02524,CUST0499,2025-05-24,Credit Card,Cancelled
ORD01453,CUST0524,2025-03-17,Bank Transfer,Processing
ORD02598,CUST0648,2025-04-02,PayPal,Processing
ORD02800,CUST0085,2024-12-07,PayPal,Cancelled
ORD02691,CUST0486,2024-08-19,PayPal,Delivered
ORD00318,CUST0422,2024-10-15,Bank Transfer,Cancelled
ORD01189,CUST0401,2025-01-28,Bank Transfer,Shipped
ORD02670,CUST0469,2024-12-11,PayPal,Delivered
ORD01291,CUST0492,2024-07-25,Bank Transfer,Cancelled
ORD01216,CUST0123,2025-03-28,Bank Transfer,Shipped
ORD00184,CUST0461,2024-12-19,PayPal,Delivered
ORD00510,CUST0614,2025-06-06,Credit Card,Shipped
ORD00210,CUST0052,2025-06-29,PayPal,Cancelled
ORD00343,CUST0957,2024-08-14,Bank Transfer,Processing
ORD00678,CUST0220,2025-01-08,Bank Transfer,Processing
ORD02971,CUST0615,2024-08-14,PayPal,Delivered
ORD02610,CUST0015,2024-09-15,Bank Transfer,Cancelled
ORD02845,CUST0488,2024-12-15,Bank Transfer,Delivered
ORD01117,CUST0849,2024-11-27,Credit Card,Cancelled
ORD02703,CUST0694,2024-09-13,Bank Transfer,Shipped
ORD02543,CUST0015,2024-10-09,Credit Card,Shipped
ORD00289,CUST0566,2025-01-15,Credit Card,Delivered
ORD00859,CUST0573,2025-05-11,PayPal,Processing
ORD02557,CUST0450,2025-04-26,Credit Card,Shipped
ORD01386,CUST0989,2025-03-08,Bank Transfer,Cancelled
ORD02078,CUST0584,2024-11-12,Bank Transfer,Delivered
ORD02236,CUST0650,2025-01-06,PayPal,Shipped
ORD02881,CUST0438,2024-09-09,Credit Card,Processing
ORD01953,CUST0964,2024-09-06,Bank Transfer,Shipped
ORD00075,CUST0925,2025-06-23,Credit Card,Delivered
ORD02520,CUST0568,2025-02-16,Credit Card,Cancelled
ORD00421,CUST0144,2025-05-10,Credit Card,Shipped
ORD02673,CUST0496,2025-02-20,PayPal,Processing
ORD02001,CUST0506,2025-02-21,Credit Card,Processing
ORD01420,CUST0793,2025-06-24,PayPal,Processing
ORD02688,CUST0971,2024-07-30,PayPal,Processing
ORD02593,CUST0483,2024-11-24,Bank Transfer,Cancelled
ORD02529,CUST0812,2024-12-13,Bank Transfer,Processing
ORD01220,CUST0793,2024-09-01,PayPal,Processing
ORD02015,CUST0959,2024-09-06,PayPal,Delivered
ORD00482,CUST0361,2025-02-27,Credit Card,Delivered
ORD00796,CUST0044,2025-07-03,PayPal,Shipped
ORD00338,CUST0426,2025-01-04,PayPal,Cancelled
ORD01200,CUST0790,2024-11-16,Credit Card,Processing
ORD01031,CUST0248,2025-07-11,PayPal,Delivered
ORD02934,CUST0862,2024-08-26,Bank Transfer,Shipped
ORD01025,CUST0699,2025-03-05,Bank Transfer,Shipped
ORD00883,CUST0609,2024-09-20,Credit Card,Cancelled
ORD02033,CUST0719,2024-12-25,Bank Transfer,Shipped
ORD02212,CUST0909,2024-09-12,Credit Card,Cancelled
ORD00269,CUST0281,2025-02-13,Credit Card,Shipped
ORD01392,CUST0972,2025-01-22,Credit Card,Delivered
ORD00983,CUST0503,2024-07-31,Credit Card,Processing
ORD00549,CUST0852,2024-08-10,PayPal,Shipped
ORD00089,CUST0635,2025-06-25,Credit Card,Cancelled
ORD02285,CUST0756,2025-05-02,Credit Card,Cancelled
ORD02967,CUST0022,2025-01-08,Credit Card,Delivered
ORD01836,CUST0793,2024-09-16,Bank Transfer,Cancelled
ORD02392,CUST0941,2024-09-23,PayPal,Processing
ORD02221,CUST0195,2025-06-02,PayPal,Cancelled
ORD00265,CUST0284,2025-01-24,Bank Transfer,Processing
ORD01883,CUST0078,2025-03-31,Bank Transfer,Delivered
ORD01577,CUST0518,2024-09-21,PayPal,Cancelled
ORD00557,CUST0041,2025-05-07,Credit Card,Cancelled
ORD00321,CUST0466,2025-04-30,Credit Card,Processing
ORD00873,CUST0542,2025-04-27,Credit Card,Delivered
ORD01925,CUST0805,2024-11-08,PayPal,Processing
ORD02777,CUST0684,2025-05-02,Credit Card,Shipped
ORD01162,CUST0919,2025-02-23,Credit Card,Delivered
ORD01294,CUST0027,2025-04-17,PayPal,Delivered
ORD02890,CUST0677,2024-08-27,Bank Transfer,Cancelled
ORD00261,CUST0278,2025-05-17,PayPal,Processing
ORD02530,CUST0512,2025-04-13,Bank Transfer,Cancelled
ORD00741,CUST0050,2025-03-02,Credit Card,Processing
ORD00864,CUST0555,2025-05-17,Credit Card,Shipped
ORD01844,CUST0483,2025-07-03,Bank Transfer,Cancelled
ORD02823,CUST0126,2024-08-05,PayPal,Cancelled
ORD00186,CUST0785,2025-01-21,Bank Transfer,Cancelled
ORD00850,CUST0064,2025-02-21,Bank Transfer,Delivered
ORD01665,CUST0158,2025-06-01,PayPal,Shipped
ORD02030,CUST0703,2024-12-02,Bank Transfer,Processing
ORD02439,CUST0294,2024-08-25,PayPal,Shipped
ORD01192,CUST0251,2025-03-09,Credit Card,Cancelled
ORD01035,CUST0557,2025-04-27,Credit Card,Processing
ORD02194,CUST0156,2025-03-13,Credit Card,Shipped
ORD01495,CUST0630,2024-09-15,PayPal,Cancelled
ORD02939,CUST0548,2025-04-29,Credit Card,Cancelled
ORD02981,CUST0745,2025-04-25,Bank Transfer,Delivered
ORD02324,CUST0795,2025-01-10,PayPal,Delivered
ORD01336,CUST0340,2025-06-09,Bank Transfer,Shipped
ORD00024,CUST0697,2025-03-14,Bank Transfer,Shipped
ORD00917,CUST0960,2024-12-22,Credit Card,Shipped
ORD00005,CUST0277,2024-11-07,Bank Transfer,Delivered
ORD00910,CUST0095,2025-03-04,Bank Transfer,Delivered
ORD02258,CUST0057,2024-09-03,Bank Transfer,Processing
ORD01328,CUST0388,2024-09-17,PayPal,Processing
ORD00244,CUST0769,2025-06-30,PayPal,Cancelled
ORD00837,CUST0710,2025-03-12,Credit Card,Shipped
ORD02538,CUST0948,2025-02-04,Credit Card,Shipped
ORD01688,CUST0995,2024-09-03,Bank Transfer,Shipped
ORD02242,CUST0167,2024-11-13,Credit Card,Delivered
ORD02774,CUST0813,2024-11-04,Bank Transfer,Shipped
ORD00578,CUST0232,2024-09-11,Credit Card,Delivered
ORD00454,CUST0969,2025-01-02,Bank Transfer,Shipped
ORD02252,CUST0223,2025-04-17,Bank Transfer,Cancelled
ORD00123,CUST0316,2025-04-15,PayPal,Shipped
ORD01801,CUST0889,2025-01-16,PayPal,Delivered
ORD00507,CUST0291,2025-02-14,Bank Transfer,Cancelled
ORD01467,CUST0352,2024-09-06,Bank Transfer,Delivered
ORD02381,CUST0842,2025-02-04,PayPal,Delivered
ORD02714,CUST0760,2025-01-20,PayPal,Cancelled
ORD00218,CUST0773,2024-09-03,Credit Card,Delivered
ORD01865,CUST0953,2025-03-20,PayPal,Shipped
ORD02023,CUST0016,2025-06-25,Credit Card,Processing
ORD01290,CUST0392,2024-09-22,Bank Transfer,Processing
ORD02744,CUST0366,2025-04-01,Credit Card,Shipped
ORD01013,CUST0341,2024-12-14,Bank Transfer,Cancelled
ORD01669,CUST0539,2025-04-13,Credit Card,Delivered
ORD00027,CUST0115,2024-10-09,PayPal,Cancelled
ORD00251,CUST0088,2025-06-29,Credit Card,Cancelled
ORD00227,CUST0952,2024-09-21,PayPal,Cancelled
ORD02329,CUST0704,2024-11-18,Bank Transfer,Shipped
ORD00609,CUST0040,2025-06-03,PayPal,Cancelled
ORD02197,CUST0621,2024-10-11,Bank Transfer,Delivered
ORD01120,CUST0463,2024-10-14,Credit Card,Shipped
ORD01187,CUST0081,2024-10-16,Bank Transfer,Delivered
ORD00692,CUST0627,2024-08-10,Credit Card,Shipped
ORD01994,CUST0718,2024-09-19,Bank Transfer,Cancelled
ORD00465,CUST0102,2024-11-23,Bank Transfer,Shipped
ORD01542,CUST0927,2024-08-09,PayPal,Delivered
ORD01431,CUST0941,2025-02-10,PayPal,Delivered
ORD01964,CUST0036,2025-02-04,Bank Transfer,Processing
ORD00220,CUST0245,2025-03-23,Credit Card,Cancelled
ORD01014,CUST0824,2024-09-27,PayPal,Cancelled
ORD02235,CUST0094,2025-03-04,Credit Card,Cancelled
ORD00276,CUST0842,2025-05-13,Credit Card,Cancelled
ORD02941,CUST0950,2025-02-13,PayPal,Processing
ORD00700,CUST0515,2025-04-16,Credit Card,Shipped
ORD01099,CUST0560,2024-10-27,Credit Card,Cancelled
ORD02982,CUST0429,2024-10-19,Credit Card,Cancelled
ORD01831,CUST0579,2025-04-22,PayPal,Processing
ORD00111,CUST0518,2025-02-16,PayPal,Processing
ORD01980,CUST0307,2025-06-18,Credit Card,Cancelled
ORD02104,CUST0239,2025-02-26,PayPal,Processing
ORD00241,CUST0477,2024-09-05,PayPal,Processing
ORD01812,CUST0899,2024-12-15,Bank Transfer,Shipped
ORD02166,CUST0191,2024-08-24,Credit Card,Cancelled
ORD00010,CUST0218,2024-09-01,Bank Transfer,Cancelled
ORD01227,CUST0155,2025-01-11,Credit Card,Cancelled
ORD02966,CUST0968,2024-09-12,Bank Transfer,Delivered
ORD01614,CUST0987,2025-01-08,PayPal,Shipped
ORD01561,CUST0427,2024-11-29,Bank Transfer,Cancelled
ORD02109,CUST0610,2025-04-12,Bank Transfer,Processing
ORD02120,CUST0995,2024-10-02,PayPal,Shipped
ORD00222,CUST0477,2025-06-15,Bank Transfer,Processing
ORD02674,CUST0789,2025-02-06,Credit Card,Delivered
ORD02330,CUST0342,2025-05-29,PayPal,Shipped
ORD01076,CUST0121,2025-01-18,Credit Card,Processing
ORD02626,CUST0166,2025-05-02,Bank Transfer,Cancelled
ORD00876,CUST0545,2024-11-06,PayPal,Delivered
ORD01463,CUST0739,2024-08-29,Credit Card,Cancelled
ORD02119,CUST0157,2024-08-04,Credit Card,Cancelled
ORD02487,CUST0260,2024-12-01,PayPal,Cancelled
ORD00720,CUST0305,2024-11-17,PayPal,Shipped
ORD00616,CUST0309,2025-07-18,Credit Card,Shipped
ORD01507,CUST0306,2024-11-04,PayPal,Cancelled
ORD01527,CUST0679,2025-02-20,Bank Transfer,Processing
ORD01194,CUST0317,2025-02-12,Bank Transfer,Delivered
ORD00397,CUST0695,2024-12-22,Bank Transfer,Delivered
ORD02570,CUST0357,2024-09-19,PayPal,Shipped
ORD01329,CUST0131,2024-08-20,Credit Card,Shipped
ORD00214,CUST0855,2025-05-15,Credit Card,Cancelled
ORD00128,CUST0948,2024-08-14,Credit Card,Delivered
ORD01116,CUST0150,2025-06-19,Bank Transfer,Processing
ORD00943,CUST0070,2024-09-26,Bank Transfer,Delivered
ORD02206,CUST0419,2024-09-08,Credit Card,Processing
ORD01096,CUST0587,2024-11-05,Credit Card,Processing
ORD01459,CUST0672,2025-02-22,Bank Transfer,Processing
ORD00571,CUST0659,2024-08-06,PayPal,Delivered
ORD00092,CUST0686,2024-11-08,Bank Transfer,Processing
ORD01629,CUST0206,2025-05-29,Credit Card,Processing
ORD00142,CUST0899,2024-11-23,PayPal,Delivered
ORD00443,CUST0284,2024-12-27,Credit Card,Delivered
ORD00856,CUST0829,2025-01-24,Credit Card,Cancelled
ORD00725,CUST0883,2024-11-27,Bank Transfer,Processing
ORD00545,CUST0816,2025-03-27,PayPal,Shipped
ORD02413,CUST0639,2024-12-21,Credit Card,Cancelled
ORD02355,CUST0100,2025-03-06,PayPal,Processing
ORD00972,CUST0952,2025-05-15,Credit Card,Processing
ORD00537,CUST0263,2025-02-05,Credit Card,Delivered
ORD02140,CUST0359,2024-08-28,Bank Transfer,Cancelled
ORD00213,CUST0285,2025-02-03,PayPal,Processing
ORD00698,CUST0132,2025-06-02,Bank Transfer,Delivered
ORD02422,CUST0595,2024-09-20,PayPal,Shipped
ORD00986,CUST0088,2024-08-13,Bank Transfer,Processing
ORD01343,CUST0738,2025-04-17,Credit Card,Shipped
ORD01065,CUST0211,2024-07-28,PayPal,Shipped
ORD02710,CUST0013,2024-09-29,PayPal,Processing
ORD01931,CUST0267,2025-05-30,PayPal,Processing
ORD01679,CUST0982,2025-04-18,Credit Card,Processing
ORD02093,CUST0983,2025-06-17,PayPal,Shipped
ORD02751,CUST0847,2025-06-25,Bank Transfer,Processing
ORD01426,CUST0068,2025-02-19,PayPal,Cancelled
ORD01057,CUST0529,2025-02-15,Credit Card,Delivered
ORD01916,CUST0462,2025-06-26,Credit Card,Delivered
ORD00040,CUST0836,2025-05-14,Credit Card,Delivered
ORD00250,CUST0570,2024-10-25,Credit Card,Delivered
ORD01636,CUST0899,2024-10-26,PayPal,Shipped
ORD01579,CUST0770,2025-01-22,PayPal,Processing
ORD01333,CUST0944,2024-11-20,Bank Transfer,Delivered
ORD00170,CUST0026,2024-08-28,Credit Card,Delivered
ORD01959,CUST0087,2024-12-11,Bank Transfer,Cancelled
ORD01127,CUST0224,2025-03-12,PayPal,Delivered
ORD02116,CUST0056,2025-06-11,PayPal,Shipped
ORD02302,CUST0856,2024-09-30,Bank Transfer,Processing
ORD01148,CUST0010,2025-01-14,Credit Card,Processing
ORD01992,CUST0114,2024-11-26,Bank Transfer,Cancelled
ORD00870,CUST0083,2024-11-07,Bank Transfer,Delivered
ORD00740,CUST0221,2025-03-20,Bank Transfer,Processing
ORD00603,CUST0425,2025-07-18,Credit Card,Cancelled
ORD01752,CUST0833,2024-11-15,Bank Transfer,Cancelled
ORD00456,CUST0470,2025-03-07,Bank Transfer,Shipped
ORD00784,CUST0935,2024-10-09,Bank Transfer,Processing
ORD01591,CUST0912,2025-04-11,Bank Transfer,Delivered
ORD00393,CUST0933,2024-08-15,Bank Transfer,Cancelled
ORD02150,CUST0024,2024-11-22,PayPal,Delivered
ORD01762,CUST0457,2024-12-13,Credit Card,Delivered
ORD00716,CUST0633,2025-06-18,Bank Transfer,Shipped
ORD01894,CUST0629,2025-04-07,Credit Card,Shipped
ORD02797,CUST0533,2024-09-26,Credit Card,Cancelled
ORD01483,CUST0889,2025-01-23,Bank Transfer,Cancelled
ORD02528,CUST0501,2024-10-07,PayPal,Shipped
ORD01184,CUST0434,2025-04-18,Bank Transfer,Cancelled
ORD00304,CUST0966,2025-03-26,PayPal,Cancelled
ORD00502,CUST0454,2025-04-23,Bank Transfer,Cancelled
ORD01223,CUST0299,2025-03-03,Bank Transfer,Processing
ORD01751,CUST0870,2025-07-12,Bank Transfer,Shipped
ORD01100,CUST0105,2025-06-11,Bank Transfer,Delivered
ORD00674,CUST0256,2024-11-04,Credit Card,Shipped
ORD00146,CUST0447,2024-12-24,Bank Transfer,Shipped
ORD00013,CUST0253,2025-07-05,Bank Transfer,Processing
ORD01011,CUST0469,2024-10-31,Credit Card,Delivered
ORD02309,CUST0385,2025-05-15,Bank Transfer,Delivered
ORD01101,CUST0305,2025-07-21,Credit Card,Cancelled
ORD00235,CUST0519,2025-07-15,Bank Transfer,Processing
ORD02705,CUST0200,2024-12-07,PayPal,Processing
ORD01080,CUST0589,2024-09-30,PayPal,Cancelled
ORD02617,CUST0436,2025-07-10,Bank Transfer,Cancelled
ORD01490,CUST0341,2025-07-17,Bank Transfer,Delivered
ORD00480,CUST0889,2025-01-17,Bank Transfer,Shipped
ORD01978,CUST0294,2024-08-16,PayPal,Shipped
ORD00762,CUST0167,2025-01-23,PayPal,Processing
ORD01860,CUST0755,2025-01-01,Bank Transfer,Shipped
ORD00427,CUST0907,2025-02-04,PayPal,Shipped
ORD01160,CUST0942,2024-12-14,PayPal,Cancelled
ORD00935,CUST0264,2024-08-04,PayPal,Cancelled
ORD01606,CUST0110,2024-10-23,PayPal,Delivered
ORD01556,CUST0986,2025-02-01,PayPal,Processing
ORD00375,CUST0150,2024-08-12,Credit Card,Cancelled
ORD00547,CUST0318,2025-06-11,PayPal,Cancelled
ORD02921,CUST0826,2025-05-26,Bank Transfer,Delivered
ORD00769,CUST0612,2024-08-25,PayPal,Processing
ORD02952,CUST0465,2025-01-14,Bank Transfer,Shipped
ORD01475,CUST0970,2025-04-28,Bank Transfer,Processing
ORD01721,CUST0217,2025-05-31,PayPal,Delivered
ORD00823,CUST0280,2025-01-20,Credit Card,Shipped
ORD02597,CUST0140,2025-04-27,PayPal,Delivered
ORD02663,CUST0486,2025-03-02,PayPal,Cancelled
ORD01537,CUST0241,2024-12-19,Credit Card,Shipped
ORD01734,CUST0498,2025-06-14,PayPal,Processing
ORD00030,CUST0996,2025-04-22,Bank Transfer,Delivered
ORD00818,CUST0898,2024-10-16,Credit Card,Shipped
ORD01222,CUST0009,2024-07-28,PayPal,Delivered
ORD02184,CUST0212,2025-04-13,Bank Transfer,Delivered
ORD00319,CUST0296,2025-02-18,Bank Transfer,Cancelled
ORD00102,CUST0854,2024-11-04,Bank Transfer,Processing
ORD01474,CUST0743,2025-07-21,Bank Transfer,Delivered
ORD02428,CUST0628,2025-07-15,Credit Card,Processing
ORD02701,CUST0801,2025-05-13,PayPal,Delivered
ORD01403,CUST0116,2025-04-19,PayPal,Delivered
ORD01764,CUST0754,2025-02-03,Bank Transfer,Cancelled
ORD01859,CUST0601,2025-07-02,Credit Card,Shipped
ORD01789,CUST0491,2024-12-25,Credit Card,Delivered
ORD01863,CUST0356,2025-06-12,PayPal,Delivered
ORD00008,CUST0411,2024-09-16,PayPal,Shipped
ORD00653,CUST0081,2024-11-28,PayPal,Delivered
ORD02927,CUST0717,2024-12-14,Credit Card,Processing
ORD00447,CUST0809,2025-03-02,Credit Card,Processing
ORD02149,CUST0313,2024-12-14,PayPal,Cancelled
ORD02272,CUST0338,2025-05-22,Bank Transfer,Cancelled
ORD02387,CUST0776,2025-01-10,Credit Card,Delivered
ORD02575,CUST0284,2024-10-18,Credit Card,Delivered
ORD02579,CUST0661,2024-12-06,PayPal,Processing
ORD01590,CUST0846,2025-06-20,Credit Card,Processing
ORD01867,CUST0519,2025-07-23,Credit Card,Shipped
ORD02780,CUST0687,2025-01-07,PayPal,Shipped
ORD01062,CUST0406,2025-02-05,Credit Card,Delivered
ORD02371,CUST0245,2024-09-20,Bank Transfer,Delivered
ORD01349,CUST0167,2025-02-18,PayPal,Shipped
ORD02056,CUST0628,2024-12-15,PayPal,Processing
ORD00525,CUST0821,2024-09-22,Bank Transfer,Cancelled
ORD02092,CUST0369,2024-12-06,PayPal,Cancelled
ORD01739,CUST0173,2025-03-24,Credit Card,Processing
ORD01658,CUST0700,2025-03-28,Credit Card,Delivered
ORD02008,CUST0837,2025-01-16,PayPal,Shipped
ORD02841,CUST0504,2025-03-15,PayPal,Delivered
ORD00574,CUST0521,2025-03-07,PayPal,Shipped
ORD00804,CUST0103,2024-12-26,PayPal,Processing
ORD01905,CUST0324,2025-05-25,Bank Transfer,Shipped
ORD00310,CUST0591,2025-06-22,Credit Card,Delivered
ORD01601,CUST0850,2025-06-27,Bank Transfer,Processing
ORD00259,CUST0436,2025-05-15,Bank Transfer,Processing
ORD00895,CUST0642,2025-01-20,Bank Transfer,Cancelled
ORD01541,CUST0741,2024-12-30,Bank Transfer,Shipped
ORD00238,CUST0651,2024-11-26,PayPal,Delivered
ORD00902,CUST0247,2025-07-10,Credit Card,Processing
ORD02602,CUST0873,2024-09-15,PayPal,Cancelled
ORD00763,CUST0608,2025-05-28,PayPal,Cancelled
ORD00458,CUST0437,2025-02-12,Bank Transfer,Shipped
ORD00309,CUST0784,2024-08-05,Bank Transfer,Processing
ORD00378,CUST0625,2025-06-13,PayPal,Delivered
